label,centroid-0,centroid-1,centroid-2,volume_voxels,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,equivalent_diameter,extent,solidity,bbox_z_length,bbox_y_length,bbox_x_length,shape_major_axis,shape_intermediate_axis,shape_minor_axis
50,83.11544381734222,150.7603899435608,292.5448948178553,1949.0,73,144,286,94,160,299,15.49783640842303,0.4461996336996337,0.9133083411433927,21,16,13,18.7056582816844,17.108928159229226,13.615106087511295
51,84.47885289870023,165.01217247782134,192.5465236228595,4847.0,71,152,179,97,179,203,20.99704275061788,0.2876899335232669,0.7547492992837123,26,27,24,27.13913298886415,24.826441722206173,18.91131229207343
52,87.56701557314271,152.9803420985448,175.3091651774317,3917.0,76,145,165,98,165,186,19.557724151833746,0.4239177489177489,0.876090360098412,22,20,21,21.051387735609996,20.247237160305776,19.136030113979135
53,87.97312252964427,339.897233201581,310.0490118577075,1265.0,79,334,305,98,346,316,13.418293933983344,0.5043859649122807,0.9186637618010167,19,12,11,15.398548530723977,14.752655529568523,11.766746044315562
54,89.74248927038627,362.56223175965664,278.74678111587986,1631.0,80,358,272,100,368,287,14.60444686304428,0.5436666666666666,0.9132138857782754,20,10,15,18.159482160304574,16.392612351102215,12.719337920419926
55,88.82142857142857,165.0064935064935,149.8538961038961,308.0,86,160,144,92,170,155,8.378842586487032,0.4666666666666667,0.9221556886227545,6,10,11,10.667980742740559,10.291645355711239,6.827392969770676
56,89.22766217870257,199.13463892288863,157.73194614443085,817.0,80,196,150,97,205,166,11.598659828508902,0.33374183006535946,0.8113207547169812,17,9,16,14.78359504746523,13.149094340224835,10.774500495886521
57,91.0705596107056,157.17457420924575,219.3832116788321,1644.0,80,148,206,104,164,226,14.64314614897566,0.2140625,0.6414358174014826,24,16,20,17.824551635328675,17.432460945712347,13.469498001510798
58,92.99625818521983,150.1178671655753,148.36576239476145,1069.0,87,145,141,99,156,157,12.686048311630074,0.506155303030303,0.9247404844290658,12,11,16,14.437747318180126,13.705724289685902,11.344697197058606
59,90.46801085692128,157.42031795269483,232.36758433501356,2579.0,78,151,224,103,167,246,17.014436616595525,0.29306818181818184,0.7079330222344222,25,16,22,22.290052511574867,19.405260666579807,17.44336021517431
60,93.35483870967742,173.3035190615836,135.5366568914956,1364.0,86,166,125,100,182,144,13.759582272309713,0.32048872180451127,0.791642484039466,14,16,19,17.67637051798878,17.294686652011794,11.840433808255518
61,92.37192474674384,194.32272069464545,145.4370477568741,691.0,88,186,141,97,203,152,10.968817440279357,0.41057635175282237,0.8615960099750624,9,17,11,15.117682299758501,15.042005074207445,8.439629472012427
62,93.50144300144301,137.15873015873015,141.06709956709958,1386.0,86,130,134,101,145,149,13.83316432526013,0.4106666666666667,0.86625,15,15,15,14.756139035375718,13.851341719965479,13.677815675625068
63,96.56759259259259,183.30555555555554,282.30185185185184,1080.0,88,177,278,106,192,288,12.729413015364662,0.4,0.8940397350993378,18,15,10,15.700710886900586,13.594271505793037,11.769967696258218
64,94.73157894736842,146.61929824561403,129.2438596491228,570.0,91,140,124,99,154,136,10.287079065364845,0.42410714285714285,0.9090909090909091,8,14,12,13.580895314411697,13.311919131002046,8.053456084984663
65,96.40123456790124,154.45987654320987,261.9537037037037,324.0,92,151,258,102,159,267,8.52148850768993,0.45,0.8709677419354839,10,8,9,9.630236972471197,8.775601961310791,7.92959164461351
66,97.44268406337372,126.58154706430568,137.05125815470643,1073.0,91,120,131,104,134,144,12.701851564732205,0.4535080304311074,0.8838550247116969,13,14,13,13.22202636326865,13.165294172171118,12.202039873225655
67,101.19742209169522,139.63501386849404,198.42143906020559,6129.0,86,131,187,124,156,215,22.70546147030236,0.23041353383458646,0.7353329334133173,38,25,28,32.131970661243265,30.650636370323888,19.73685899149346
68,96.96489468405215,209.58976930792377,147.50451354062187,997.0,90,199,141,104,218,155,12.394590380440395,0.2677228786251343,0.8246484698097601,14,19,14,17.410399047831334,16.94498189716112,9.674786519673495
69,91.46238477549807,233.2304490038656,153.39399345822181,3363.0,82,225,142,99,243,162,18.58843162735999,0.5495098039215687,0.9264462809917355,17,18,20,20.88052633799649,19.371184107528144,17.914703350297792
70,103.46222222222222,158.76095238095238,235.64698412698414,3150.0,95,151,226,116,167,246,18.187401062713498,0.46875,0.861597374179431,21,16,20,21.96419176787677,20.068908455004276,16.628628191921017
71,98.13076923076923,182.63846153846154,126.5923076923077,130.0,95,179,124,102,187,130,6.285139335191904,0.3869047619047619,0.8227848101265823,7,8,6,7.0492504211562785,6.539679766501393,6.040774197851503
72,97.21126760563381,345.2112676056338,237.84909456740442,994.0,91,340,230,103,352,245,12.38214600422132,0.4601851851851852,0.8651000870322019,12,12,15,13.815914779127835,13.035697515202227,11.880041697429549
73,99.57909233997901,121.12158971668416,164.8649003147954,7624.0,87,110,153,114,140,178,24.41901200848,0.37649382716049384,0.9002243476207344,27,30,25,28.911752914377306,26.69939837716007,22.008116328819177
74,98.0688210652304,151.12028725314184,212.85697187312985,1671.0,87,144,205,106,160,223,14.722874468920718,0.3053728070175439,0.7779329608938548,19,16,18,17.241393182276166,15.545855692098993,14.06931131544286
75,101.85744382022472,205.33778089887642,132.3426966292135,1424.0,95,197,123,111,212,140,13.9584476568284,0.34901960784313724,0.7876106194690266,16,15,17,17.129501884861256,14.907528258425524,13.379072988906627
76,111.68481291269259,234.55744680851063,149.03580337490828,6815.0,98,225,139,135,244,161,23.522803425058576,0.44064399327557224,0.811986178958656,37,19,22,32.86508633799499,32.5159356467523,18.912352310452672
77,107.20011015237746,194.10078942537177,115.68092527997062,5447.0,94,183,102,123,205,130,21.82995888015403,0.3049149126735334,0.8430583501006036,29,22,28,27.101214537709016,23.107878791706717,20.621397365311726
78,105.8041055718475,260.0516129032258,165.19472140762463,1705.0,96,254,159,116,267,172,14.822060683905889,0.5044378698224852,0.9088486140724946,20,13,13,18.76095782266618,16.4222107292084,13.232258623723117
79,108.08465244322092,345.46524432209225,235.69236063317274,1453.0,100,340,230,119,352,244,14.052566980307867,0.4552005012531328,0.8526995305164319,19,12,14,16.453839636102558,15.965793300184261,12.486003937118845
80,111.35150078988941,148.2093206951027,213.69510268562402,1266.0,105,143,207,122,155,220,13.421828785025152,0.47737556561085975,0.8683127572016461,17,12,13,16.21455705481889,15.758561700406354,11.62654025178189
81,109.1994342291372,135.1923620933522,109.92998585572843,1414.0,102,126,102,117,145,118,13.925696603457405,0.31008771929824563,0.8674846625766871,15,19,16,17.860195031209788,16.50573275429203,11.837957666915955
82,111.09196980096088,102.54221002059026,184.4996568291009,1457.0,103,94,177,120,111,193,14.065450386084667,0.31509515570934254,0.8278409090909091,17,17,16,16.240669242273782,14.982545782590082,12.917342534748098
83,113.33333333333333,124.52107279693486,203.22222222222223,261.0,110,121,199,118,129,208,7.928918643143567,0.453125,0.9288256227758007,8,8,9,9.63184310622091,9.323616490121509,6.6039066599600345
84,113.09536307961505,181.29075532225139,104.74861475648878,3429.0,100,170,92,129,192,117,18.709246095636985,0.2149843260188088,0.7488534614544661,29,22,25,23.47006660718604,19.963673379500563,18.1855464673922
85,113.7688127090301,180.96028428093646,255.78553511705687,2392.0,103,173,250,125,190,263,16.592844797587208,0.4919786096256685,0.9207082371054658,22,17,13,19.22574140001409,17.971970458210016,14.699300869527672
