label,centroid-0,centroid-1,centroid-2,volume_voxels,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,equivalent_diameter,extent,solidity,bbox_z_length,bbox_y_length,bbox_x_length,shape_major_axis,shape_intermediate_axis,shape_minor_axis
85,112.93513980974345,180.91669068895936,104.54021331795907,3469.0,99,169,92,130,191,117,18.78171412261293,0.20346041055718475,0.7183681921722924,31,22,25,23.74381692831904,20.709547600234856,17.921242551046674
86,113.73468575974543,180.96221161495623,255.7903739061257,2514.0,103,173,250,125,190,263,16.870277136198837,0.5170711641299877,0.916514764855997,22,17,13,19.650553516360507,18.38831872305293,14.851871494090569
87,115.00734214390602,221.4520925110132,135.26101321585904,5448.0,98,209,127,136,233,145,21.831294699449998,0.33187134502923976,0.758985789913625,38,24,18,32.013620481761464,31.115547952818737,16.850974378155577
88,116.61121983039791,90.95238095238095,162.17873450750164,1533.0,108,85,155,125,99,170,14.30587779481636,0.4294117647058823,0.8815411155836688,17,14,15,16.079277171895992,14.706536678231863,13.383535243102886
89,115.4281805745554,96.55221158230734,150.1532147742818,2193.0,106,87,143,128,105,159,16.119318248898423,0.34611742424242425,0.7860215053763441,22,18,16,18.67806239839646,18.186777635169697,14.774925344293218
90,122.13632619439868,107.33099945085118,125.97542559033498,7284.0,105,97,113,155,117,146,24.050481281958497,0.22072727272727272,0.6326761052723009,50,20,33,39.25334260741239,37.028829051133286,20.628489267573613
91,118.0776502363268,134.80283592167456,102.27413909520594,1481.0,110,126,94,126,143,110,14.142259829111715,0.34030330882352944,0.8395691609977324,16,17,16,17.63499457037049,15.911780975693167,12.63727122464621
92,126.3968356474007,97.5563448498547,138.40490797546013,6194.0,106,88,129,149,114,156,22.785445601216797,0.20519446100841449,0.6642359249329759,43,26,27,33.12946056294476,30.6484400469843,19.8380332341792
93,126.84179252290171,173.92002971032434,93.50433275563259,4039.0,110,166,85,143,185,107,19.758701955430524,0.29280846744961575,0.8078,33,19,22,26.187786802859186,24.826828439582364,16.32536186287192
94,122.32921245421245,308.06456043956047,273.5389194139194,2184.0,110,301,268,135,316,280,16.097236963380205,0.48533333333333334,0.9069767441860465,25,15,12,20.052805706218855,18.86286288199026,13.483722297482599
95,125.92324093816632,81.53411513859275,152.95842217484008,1876.0,116,75,146,137,89,164,15.30187807678088,0.3544973544973545,0.881578947368421,21,14,18,19.39749283700241,17.116111243078873,13.88242963238891
96,122.12744053958112,96.20802271920483,204.15051473198437,2817.0,112,88,196,133,105,213,17.52250025161141,0.46416213544241225,0.9184871209651125,21,17,17,20.058841150148446,17.989205290643927,16.35835162564495
97,125.03342618384401,180.07242339832868,235.3676880222841,359.0,119,176,233,132,185,239,8.817902153251003,0.5113960113960114,0.9065656565656566,13,9,6,11.174028558784102,10.191013719227819,7.52242587699623
98,126.13958333333333,198.69097222222223,241.89444444444445,1440.0,116,193,237,136,206,248,14.01053189928883,0.5034965034965035,0.906801007556675,20,13,11,17.05759317154092,16.408989253520232,11.715848833022344
99,125.44053643724696,216.6880060728745,126.97925101214575,3952.0,110,208,120,144,228,141,19.61580359895454,0.27675070028011206,0.6913925822253324,34,20,21,25.697150958046393,25.144446905355288,16.50780224258107
100,132.26453697056712,68.23438621679827,172.24012921751614,2786.0,120,60,164,150,75,185,17.45798689939911,0.2948148148148148,0.6785192401363858,30,15,21,26.78203414204013,26.06189114756751,14.365236827852645
101,129.86304909560724,330.8992248062016,243.5762273901809,387.0,125,327,240,136,335,248,9.041436730455773,0.5497159090909091,0.9170616113744076,11,8,8,10.30880247082426,9.549082460731828,8.147641585044326
102,130.26268742791234,147.10409457900806,88.13869665513265,3468.0,118,134,81,147,158,98,18.77990922983585,0.29310344827586204,0.8274874731567645,29,24,17,26.033623411412925,22.512985710398034,17.264233579068463
